Revisão de Imagens (ChatGpt),,,
,,,
Imagem,,"Possui acessibilidade?(Acessível, Parcialmente acessível, Não acessível)","Elementos que pontuam acessibilidade (rampa, corrimão, sinalização)"
shopping_8,,Parcialmente acessível,"Presença de escada rolante e elevador panorâmico, calçamento plano e largo"
shopping_9,,Parcialmente acessível,"Corrimão duplo nas escadas, que atende parcialmente à norma de acessibilidade (importante para pessoas com mobilidade reduzida). Calçada ampla e plana em frente à entrada."
shopping_10,,Acessível,"Rampa de acesso com corrimão duplo em ambos os lados, calçada plana, com piso antiderrapante e sinalização de faixa de pedestre bem visível e entrada com portas automáticas de vidro"
prefeitura_1,,Não acessível,Nenhum
prefeitura_2,,Parcialmente acessível,"corrimãos, calçada em frente é larga, plana e bem conservada."
prefeitura_3,,Acessível,"Rampa larga e cetralizada, com inclinação aparentemente adequada, piso é regular e amplo, corrimãos e largura generosa da via de acesso."
prefeitura_4,,Não acessível,Nenhum.
prefeitura_5,,Parcialmente acessível,Rampa de acesso e entrada aparentemente tem largura adequada.
prefeitura_6,,Não acessível,Nenhum
prefeitura_7,,Parcialmente acessível,Rampa e entrada ampla
prefeitura_8,,Não acessível,Nenhum
prefeitura_9,,Parcialmente acessível,Rampa e calçada é razoável.
prefeitura_10,,Não acessível,Nenhum
aeroporto_1,,Parcialmente acessível,Acesso amplo
aeroporto_2,,Parcialmente acessível,Acesso amplo e sem degraus
aeroporto_3,,Acessível,Acesso amplo e piso é nivelado
aeroporto_4,,Acessível,Sem obstáculos e piso nivelado
aeroporto_5,,Parcialmente acessível,Acesso amplo e sem degraus
aeroporto_6,,Parcialmente acessível,Espaço amplo
universidade_1,,Não acessível,Nenhum
universidade_2,,Parcialmente acessível,Rampa
universidade_3,,Acessível,"Entrada com rampa ampla, corrimões em ambos os lados, sem barreiras visíveis. A calçada parece nivelada, e a entrada é larga"
universidade_4,,Parcialmente acessível,Possui rampa
universidade_5,,Não acessível,Nenhum
universidade_6,,Parcialmente acessível,Pequena rampa lateral
universidade_7,,Acessível,"Entrada com rampa, corrimão duplo, calçada plana, sem degraus e boa sinalização visual"
universidade_8,,Não acessível,Nenhum
universidade_9,,Parcialmente acessível,"Rampa presente, mas estreita"
universidade_10,,Acessível,"Rampa ampla, comrrimões, piso tátil e entrada nivelada"
